CIPCODE,CIPDESC,CREDLEV,CREDDESC,Duplicate
1909,Apparel and Textiles.,2,Associate's Degree,19092
5006,Film/Video and Photographic Arts.,8,Graduate/Professional Certificate,50068
5219,"Specialized Sales, Merchandising and  Marketing Operations.",5,Master's Degree,52195
5133,Alternative and Complementary Medicine and Medical Systems.,5,Master's Degree,51335
4509,International Relations and National Security Studies.,2,Associate's Degree,45092
1410,"Electrical, Electronics and Communications Engineering.",1,Undergraduate Certificate or Diploma,14101
4299,"Psychology, Other.",2,Associate's Degree,42992
4509,International Relations and National Security Studies.,1,Undergraduate Certificate or Diploma,45091
5216,Taxation.,1,Undergraduate Certificate or Diploma,52161
4706,Vehicle Maintenance and Repair Technologies.,3,Bachelors Degree,47063
1099,"Communications Technologies/Technicians and Support Services, Other.",1,Undergraduate Certificate or Diploma,10991
3201,Basic Skills and Developmental/Remedial Education.,1,Undergraduate Certificate or Diploma,32011
3904,Religious Education.,6,Doctoral Degree,39046
3904,Religious Education.,7,First Professional Degree,39047
4299,"Psychology, Other.",6,Doctoral Degree,42996
4599,"Social Sciences, Other.",5,Master's Degree,45995
5213,Management Sciences and Quantitative Methods.,2,Associate's Degree,52132
3904,Religious Education.,1,Undergraduate Certificate or Diploma,39041
3907,Pastoral Counseling and Specialized Ministries.,1,Undergraduate Certificate or Diploma,39071
1302,"Bilingual, Multilingual, and Multicultural Education.",3,Bachelors Degree,13023
1302,"Bilingual, Multilingual, and Multicultural Education.",6,Doctoral Degree,13026
3023,Intercultural/Multicultural and Diversity Studies.,5,Master's Degree,30235
3023,Intercultural/Multicultural and Diversity Studies.,6,Doctoral Degree,30236
3800,"Philosophy and Religious Studies, General.",5,Master's Degree,38005
3899,"Philosophy and Religious Studies, Other.",5,Master's Degree,38995
3899,"Philosophy and Religious Studies, Other.",8,Graduate/Professional Certificate,38998
3903,Missions/Missionary Studies and Missiology.,5,Master's Degree,39035
3903,Missions/Missionary Studies and Missiology.,6,Doctoral Degree,39036
3999,"Theology and Religious Vocations, Other.",5,Master's Degree,39995
3999,"Theology and Religious Vocations, Other.",6,Doctoral Degree,39996
3999,"Theology and Religious Vocations, Other.",8,Graduate/Professional Certificate,39998
2399,"English Language and Literature/Letters, Other.",2,Associate's Degree,23992
3017,Behavioral Sciences.,6,Doctoral Degree,30176
3026,Cultural Studies/Critical Theory and Analysis.,5,Master's Degree,30265
3899,"Philosophy and Religious Studies, Other.",6,Doctoral Degree,38996
4227,Research and Experimental Psychology.,6,Doctoral Degree,42276
5133,Alternative and Complementary Medicine and Medical Systems.,6,Doctoral Degree,51336
5133,Alternative and Complementary Medicine and Medical Systems.,8,Graduate/Professional Certificate,51338
2701,Mathematics.,1,Undergraduate Certificate or Diploma,27011
3001,Biological and Physical Sciences.,1,Undergraduate Certificate or Diploma,30011
4002,Astronomy and Astrophysics.,2,Associate's Degree,40022
4005,Chemistry.,1,Undergraduate Certificate or Diploma,40051
4008,Physics.,1,Undergraduate Certificate or Diploma,40081
4502,Anthropology.,1,Undergraduate Certificate or Diploma,45021
4506,Economics.,1,Undergraduate Certificate or Diploma,45061
3031,Human Computer Interaction.,3,Bachelors Degree,30313
3031,Human Computer Interaction.,5,Master's Degree,30315
4807,Woodworking.,3,Bachelors Degree,48073
5002,"Crafts/Craft Design, Folk Art and Artisanry.",3,Bachelors Degree,50023
5010,"Arts, Entertainment,and Media Management.",5,Master's Degree,50105
1402,"Aerospace, Aeronautical and Astronautical Engineering.",8,Graduate/Professional Certificate,14028
1410,"Electrical, Electronics and Communications Engineering.",8,Graduate/Professional Certificate,14108
1412,Engineering Physics.,5,Master's Degree,14125
1412,Engineering Physics.,6,Doctoral Degree,14126
1418,Materials Engineering,8,Graduate/Professional Certificate,14188
1419,Mechanical Engineering.,8,Graduate/Professional Certificate,14198
3008,Mathematics and Computer Science.,5,Master's Degree,30085
3008,Mathematics and Computer Science.,6,Doctoral Degree,30086
4501,"Social Sciences, General.",6,Doctoral Degree,45016
1413,Engineering Science.,3,Bachelors Degree,14133
3032,Marine Sciences.,3,Bachelors Degree,30323
1302,"Bilingual, Multilingual, and Multicultural Education.",4,Post-baccalaureate Certificate,13024
5210,Human Resources Management and Services.,6,Doctoral Degree,52106
1107,Computer Science.,8,Graduate/Professional Certificate,11078
2701,Mathematics.,8,Graduate/Professional Certificate,27018
4506,Economics.,8,Graduate/Professional Certificate,45068
3025,Cognitive Science.,3,Bachelors Degree,30253
3032,Marine Sciences.,5,Master's Degree,30325
1311,Student Counseling and Personnel Services.,4,Post-baccalaureate Certificate,13114
2401,"Liberal Arts and Sciences, General Studies and Humanities.",8,Graduate/Professional Certificate,24018
3016,Accounting and Computer Science.,3,Bachelors Degree,30163
2603,Botany/Plant Biology.,3,Bachelors Degree,26033
3008,Mathematics and Computer Science.,3,Bachelors Degree,30083
3601,Leisure and Recreational Activities.,3,Bachelors Degree,36013
1507,Quality Control and Safety Technologies/Technicians.,5,Master's Degree,15075
2399,"English Language and Literature/Letters, Other.",3,Bachelors Degree,23993
3005,Peace Studies and Conflict Resolution.,5,Master's Degree,30055
1109,Computer Systems Networking and Telecommunications.,5,Master's Degree,11095
1303,Curriculum and Instruction.,4,Post-baccalaureate Certificate,13034
2612,Biotechnology.,4,Post-baccalaureate Certificate,26124
3601,Leisure and Recreational Activities.,5,Master's Degree,36015
4399,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other.",5,Master's Degree,43995
4507,Geography and Cartography.,4,Post-baccalaureate Certificate,45074
4510,Political Science and Government.,4,Post-baccalaureate Certificate,45104
4512,Urban Studies/Affairs.,4,Post-baccalaureate Certificate,45124
1311,Student Counseling and Personnel Services.,1,Undergraduate Certificate or Diploma,13111
4228,"Clinical, Counseling and Applied Psychology.",1,Undergraduate Certificate or Diploma,42281
5302,High School/Secondary Certificate Programs.,1,Undergraduate Certificate or Diploma,53021
1437,Operations Research.,3,Bachelors Degree,14373
3011,Gerontology.,3,Bachelors Degree,30113
101,Agricultural Business and Management.,6,Doctoral Degree,1016
301,Natural Resources Conservation and Research.,7,First Professional Degree,3017
402,Architecture.,7,First Professional Degree,4027
403,"City/Urban, Community and Regional Planning.",7,First Professional Degree,4037
406,Landscape Architecture.,7,First Professional Degree,4067
1104,Information Science/Studies.,7,First Professional Degree,11047
1401,"Engineering, General.",7,First Professional Degree,14017
1405,Biomedical/Medical Engineering.,7,First Professional Degree,14057
1408,Civil Engineering.,7,First Professional Degree,14087
1410,"Electrical, Electronics and Communications Engineering.",7,First Professional Degree,14107
1419,Mechanical Engineering.,7,First Professional Degree,14197
1423,Nuclear Engineering.,3,Bachelors Degree,14233
1423,Nuclear Engineering.,7,First Professional Degree,14237
1437,Operations Research.,5,Master's Degree,14375
1437,Operations Research.,6,Doctoral Degree,14376
1437,Operations Research.,7,First Professional Degree,14377
1604,"Slavic, Baltic and Albanian Languages, Literatures, and Linguistics.",6,Doctoral Degree,16046
1605,"Germanic Languages, Literatures, and Linguistics.",6,Doctoral Degree,16056
1612,"Classics and Classical Languages, Literatures, and Linguistics.",6,Doctoral Degree,16126
1613,"Celtic Languages, Literatures, and Linguistics.",3,Bachelors Degree,16133
1699,"Foreign Languages, Literatures, and Linguistics, Other.",6,Doctoral Degree,16996
2201,Law.,5,Master's Degree,22015
2610,Pharmacology and Toxicology.,3,Bachelors Degree,26103
3013,Medieval and Renaissance Studies.,6,Doctoral Degree,30136
3022,Classical and Ancient Studies.,3,Bachelors Degree,30223
3022,Classical and Ancient Studies.,5,Master's Degree,30225
3022,Classical and Ancient Studies.,6,Doctoral Degree,30226
4405,Public Policy Analysis.,7,First Professional Degree,44057
4407,Social Work.,7,First Professional Degree,44077
4502,Anthropology.,7,First Professional Degree,45027
4505,Demography and Population Studies.,5,Master's Degree,45055
4505,Demography and Population Studies.,6,Doctoral Degree,45056
4511,Sociology.,7,First Professional Degree,45117
5006,Film/Video and Photographic Arts.,6,Doctoral Degree,50066
5117,Optometry.,5,Master's Degree,51175
5117,Optometry.,8,Graduate/Professional Certificate,51178
5202,"Business Administration, Management and Operations.",7,First Professional Degree,52027
5213,Management Sciences and Quantitative Methods.,7,First Professional Degree,52137
107,International Agriculture.,3,Bachelors Degree,1073
107,International Agriculture.,5,Master's Degree,1075
1428,Textile Sciences and Engineering.,5,Master's Degree,14285
2608,Genetics.,3,Bachelors Degree,26083
3801,Philosophy.,8,Graduate/Professional Certificate,38018
4005,Chemistry.,8,Graduate/Professional Certificate,40058
5125,Veterinary Biomedical and Clinical Sciences.,7,First Professional Degree,51257
5127,Medical Illustration and Informatics.,5,Master's Degree,51275
1109,Computer Systems Networking and Telecommunications.,6,Doctoral Degree,11096
1436,Manufacturing Engineering.,6,Doctoral Degree,14366
3006,Systems Science and Theory.,6,Doctoral Degree,30066
3026,Cultural Studies/Critical Theory and Analysis.,6,Doctoral Degree,30266
5099,"Visual and Performing Arts, Other.",6,Doctoral Degree,50996
1603,"East Asian Languages, Literatures, and Linguistics.",8,Graduate/Professional Certificate,16038
1611,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics.",6,Doctoral Degree,16116
1611,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics.",8,Graduate/Professional Certificate,16118
2599,"Library Science, Other.",6,Doctoral Degree,25996
2599,"Library Science, Other.",8,Graduate/Professional Certificate,25998
2602,"Biochemistry, Biophysics and Molecular Biology.",8,Graduate/Professional Certificate,26028
2604,Cell/Cellular Biology and Anatomical Sciences.,8,Graduate/Professional Certificate,26048
4201,"Psychology, General.",8,Graduate/Professional Certificate,42018
4503,Archeology.,5,Master's Degree,45035
4503,Archeology.,6,Doctoral Degree,45036
5105,Advanced/Graduate Dentistry and Oral Sciences.,6,Doctoral Degree,51056
5003,Dance.,6,Doctoral Degree,50036
2314,Literature.,6,Doctoral Degree,23146
2399,"English Language and Literature/Letters, Other.",6,Doctoral Degree,23996
3025,Cognitive Science.,5,Master's Degree,30255
3030,Computational Science.,5,Master's Degree,30305
5001,"Visual and Performing Arts, General.",6,Doctoral Degree,50016
1199,"Computer and Information Sciences and Support Services, Other.",5,Master's Degree,11995
1199,"Computer and Information Sciences and Support Services, Other.",6,Doctoral Degree,11996
5104,Dentistry.,6,Doctoral Degree,51046
5106,Dental Support Services and Allied Professions.,5,Master's Degree,51065
3013,Medieval and Renaissance Studies.,3,Bachelors Degree,30133
4002,Astronomy and Astrophysics.,1,Undergraduate Certificate or Diploma,40021
4503,Archeology.,3,Bachelors Degree,45033
5005,Drama/Theatre Arts and Stagecraft.,8,Graduate/Professional Certificate,50058
1304,Educational Administration and Supervision.,1,Undergraduate Certificate or Diploma,13041
5003,Dance.,8,Graduate/Professional Certificate,50038
5010,"Arts, Entertainment,and Media Management.",8,Graduate/Professional Certificate,50108
4903,Marine Transportation.,3,Bachelors Degree,49033
1599,"Engineering Technologies/Technicians, Other.",1,Undergraduate Certificate or Diploma,15991
5099,"Visual and Performing Arts, Other.",2,Associate's Degree,50992
1906,Housing and Human Environments.,1,Undergraduate Certificate or Diploma,19061
4999,"Transportation and Materials Moving, Other.",1,Undergraduate Certificate or Diploma,49991
1605,"Germanic Languages, Literatures, and Linguistics.",2,Associate's Degree,16052
2603,Botany/Plant Biology.,2,Associate's Degree,26032
2605,Microbiological Sciences and Immunology.,2,Associate's Degree,26052
2607,Zoology/Animal Biology.,2,Associate's Degree,26072
1603,"East Asian Languages, Literatures, and Linguistics.",2,Associate's Degree,16032
1102,Computer Programming.,5,Master's Degree,11025
3030,Computational Science.,6,Doctoral Degree,30306
1603,"East Asian Languages, Literatures, and Linguistics.",1,Undergraduate Certificate or Diploma,16031
1605,"Germanic Languages, Literatures, and Linguistics.",1,Undergraduate Certificate or Diploma,16051
1614,"Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics.",1,Undergraduate Certificate or Diploma,16141
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",4,Post-baccalaureate Certificate,51094
5115,Mental and Social Health Services and Allied Professions.,4,Post-baccalaureate Certificate,51154
5139,"Practical Nursing, Vocational Nursing and Nursing Assistants.",4,Post-baccalaureate Certificate,51394
5199,"Health Professions and Related Clinical Sciences, Other.",4,Post-baccalaureate Certificate,51994
3905,Religious/Sacred Music.,6,Doctoral Degree,39056
5111,Health/Medical Preparatory Programs.,5,Master's Degree,51115
5119,Osteopathic Medicine/Osteopathy.,7,First Professional Degree,51197
5121,Podiatric Medicine/Podiatry.,7,First Professional Degree,51217
3031,Human Computer Interaction.,2,Associate's Degree,30312
2699,"Biological and Biomedical Sciences, Other.",1,Undergraduate Certificate or Diploma,26991
404,Environmental Design.,2,Associate's Degree,4042
2609,"Physiology, Pathology and Related Sciences.",2,Associate's Degree,26092
2599,"Library Science, Other.",1,Undergraduate Certificate or Diploma,25991
1611,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics.",2,Associate's Degree,16112
4706,Vehicle Maintenance and Repair Technologies.,4,Post-baccalaureate Certificate,47064
5216,Taxation.,2,Associate's Degree,52162
1204,Cosmetology and Related Personal Grooming Services.,8,Graduate/Professional Certificate,12048
1604,"Slavic, Baltic and Albanian Languages, Literatures, and Linguistics.",1,Undergraduate Certificate or Diploma,16041
499,"Architecture and Related Services, Other.",1,Undergraduate Certificate or Diploma,4991
2201,Law.,1,Undergraduate Certificate or Diploma,22011
3401,Health-Related Knowledge and Skills.,2,Associate's Degree,34012
4199,"Science Technologies/Technicians, Other.",1,Undergraduate Certificate or Diploma,41991
5133,Alternative and Complementary Medicine and Medical Systems.,7,First Professional Degree,51337
5299,"Business, Management, Marketing, and Related Support Services, Other.",5,Master's Degree,52995
1204,Cosmetology and Related Personal Grooming Services.,7,First Professional Degree,12047
1907,"Human Development, Family Studies, and Related Services.",4,Post-baccalaureate Certificate,19074
2799,"Mathematics and Statistics, Other.",5,Master's Degree,27995
3028,Dispute Resolution.,8,Graduate/Professional Certificate,30288
3903,Missions/Missionary Studies and Missiology.,8,Graduate/Professional Certificate,39038
3907,Pastoral Counseling and Specialized Ministries.,8,Graduate/Professional Certificate,39078
3903,Missions/Missionary Studies and Missiology.,7,First Professional Degree,39037
2202,Legal Research and Advanced Professional Studies.,1,Undergraduate Certificate or Diploma,22021
5221,Telecommunications Management.,1,Undergraduate Certificate or Diploma,52211
5221,Telecommunications Management.,3,Bachelors Degree,52213
1604,"Slavic, Baltic and Albanian Languages, Literatures, and Linguistics.",2,Associate's Degree,16042
4499,"Public Administration and Social Service Professions, Other.",2,Associate's Degree,44992
3907,Pastoral Counseling and Specialized Ministries.,4,Post-baccalaureate Certificate,39074
4228,"Clinical, Counseling and Applied Psychology.",4,Post-baccalaureate Certificate,42284
5139,"Practical Nursing, Vocational Nursing and Nursing Assistants.",5,Master's Degree,51395
2301,"English Language and Literature, General.",7,First Professional Degree,23017
3014,Museology/Museum Studies.,1,Undergraduate Certificate or Diploma,30141
3105,Health and Physical Education/Fitness.,7,First Professional Degree,31057
5007,Fine and Studio Arts.,7,First Professional Degree,50077
2203,Legal Support Services.,6,Doctoral Degree,22036
112,Soil Sciences.,1,Undergraduate Certificate or Diploma,1121
399,"Natural Resources and Conservation, Other.",1,Undergraduate Certificate or Diploma,3991
5007,Fine and Studio Arts.,4,Post-baccalaureate Certificate,50074
5101,Chiropractic.,7,First Professional Degree,51017
2201,Law.,2,Associate's Degree,22012
2601,"Biology, General.",4,Post-baccalaureate Certificate,26014
2611,"Biomathematics, Bioinformatics, and Computational Biology.",8,Graduate/Professional Certificate,26118
2613,"Ecology, Evolution, Systematics, and Population Biology.",4,Post-baccalaureate Certificate,26134
5122,Public Health.,4,Post-baccalaureate Certificate,51224
5131,Dietetics and Clinical Nutrition Services.,6,Doctoral Degree,51316
5132,Bioethics/Medical Ethics.,5,Master's Degree,51325
5132,Bioethics/Medical Ethics.,8,Graduate/Professional Certificate,51328
1501,Architectural Engineering Technologies/Technicians.,7,First Professional Degree,15017
5001,"Visual and Performing Arts, General.",7,First Professional Degree,50017
5101,Chiropractic.,5,Master's Degree,51015
5101,Chiropractic.,6,Doctoral Degree,51016
5133,Alternative and Complementary Medicine and Medical Systems.,1,Undergraduate Certificate or Diploma,51331
5133,Alternative and Complementary Medicine and Medical Systems.,2,Associate's Degree,51332
2605,Microbiological Sciences and Immunology.,1,Undergraduate Certificate or Diploma,26051
2609,"Physiology, Pathology and Related Sciences.",1,Undergraduate Certificate or Diploma,26091
3800,"Philosophy and Religious Studies, General.",2,Associate's Degree,38002
1410,"Electrical, Electronics and Communications Engineering.",2,Associate's Degree,14102
3907,Pastoral Counseling and Specialized Ministries.,7,First Professional Degree,39077
5136,Movement and Mind-Body Therapies and Education.,5,Master's Degree,51365
5116,Nursing.,2,Associate's Degree,51162
2314,Literature.,5,Master's Degree,23145
4513,Sociology and Anthropology.,3,Bachelors Degree,45133
406,Landscape Architecture.,1,Undergraduate Certificate or Diploma,4061
4299,"Psychology, Other.",1,Undergraduate Certificate or Diploma,42991
3030,Computational Science.,2,Associate's Degree,30302
4509,International Relations and National Security Studies.,8,Graduate/Professional Certificate,45098
2599,"Library Science, Other.",2,Associate's Degree,25992
1203,Funeral Service and Mortuary Science.,8,Graduate/Professional Certificate,12038
1309,Social and Philosophical Foundations of Education.,3,Bachelors Degree,13093
1501,Architectural Engineering Technologies/Technicians.,8,Graduate/Professional Certificate,15018
1608,"Iranian/Persian Languages, Literatures, and Linguistics.",3,Bachelors Degree,16083
2200,Non-Professional General Legal Studies (Undergraduate).,1,Undergraduate Certificate or Diploma,22001
2604,Cell/Cellular Biology and Anatomical Sciences.,2,Associate's Degree,26042
4600,"Construction Trades, General.",3,Bachelors Degree,46003
5100,"Health Services/Allied Health/Health Sciences, General.",8,Graduate/Professional Certificate,51008
5127,Medical Illustration and Informatics.,2,Associate's Degree,51272
5127,Medical Illustration and Informatics.,8,Graduate/Professional Certificate,51278
5139,"Practical Nursing, Vocational Nursing and Nursing Assistants.",3,Bachelors Degree,51393
1110,Computer/Information Technology Administration and Management.,6,Doctoral Degree,11106
1437,Operations Research.,8,Graduate/Professional Certificate,14378
2902,"Intelligence, Command Control and Information Operations.",5,Master's Degree,29025
2902,"Intelligence, Command Control and Information Operations.",8,Graduate/Professional Certificate,29028
2903,Military Applied Sciences.,5,Master's Degree,29035
2903,Military Applied Sciences.,8,Graduate/Professional Certificate,29038
2904,Military Systems and Maintenance Technology.,5,Master's Degree,29045
2904,Military Systems and Maintenance Technology.,8,Graduate/Professional Certificate,29048
2999,"Military Technologies and Applied Sciences, Other.",8,Graduate/Professional Certificate,29998
3030,Computational Science.,8,Graduate/Professional Certificate,30308
4509,International Relations and National Security Studies.,6,Doctoral Degree,45096
3903,Missions/Missionary Studies and Missiology.,1,Undergraduate Certificate or Diploma,39031
3905,Religious/Sacred Music.,1,Undergraduate Certificate or Diploma,39051
3906,Theological and Ministerial Studies.,1,Undergraduate Certificate or Diploma,39061
1101,"Computer and Information Sciences, General.",4,Post-baccalaureate Certificate,11014
5201,"Business/Commerce, General.",6,Doctoral Degree,52016
5211,International Business.,7,First Professional Degree,52117
402,Architecture.,2,Associate's Degree,4022
3019,Nutrition Sciences.,1,Undergraduate Certificate or Diploma,30191
3019,Nutrition Sciences.,8,Graduate/Professional Certificate,30198
3028,Dispute Resolution.,1,Undergraduate Certificate or Diploma,30281
3006,Systems Science and Theory.,3,Bachelors Degree,30063
4505,Demography and Population Studies.,3,Bachelors Degree,45053
5135,Somatic Bodywork and Related Therapeutic Services.,3,Bachelors Degree,51353
4505,Demography and Population Studies.,2,Associate's Degree,45052
4803,Leatherworking and Upholstery.,2,Associate's Degree,48032
4400,"Human Services, General.",5,Master's Degree,44005
5112,Medicine.,5,Master's Degree,51125
5121,Podiatric Medicine/Podiatry.,6,Doctoral Degree,51216
1614,"Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics.",2,Associate's Degree,16142
1906,Housing and Human Environments.,8,Graduate/Professional Certificate,19068
4604,"Building/Construction Finishing, Management, and Inspection.",8,Graduate/Professional Certificate,46048
408,Architectural History and Criticism.,3,Bachelors Degree,4083
5215,Real Estate.,5,Master's Degree,52155
4512,Urban Studies/Affairs.,5,Master's Degree,45125
1601,"Linguistic, Comparative, and Related Language Studies and Services.",4,Post-baccalaureate Certificate,16014
1905,"Foods, Nutrition, and Related Services.",4,Post-baccalaureate Certificate,19054
1310,Special Education and Teaching.,7,First Professional Degree,13107
5115,Mental and Social Health Services and Allied Professions.,7,First Professional Degree,51157
3999,"Theology and Religious Vocations, Other.",1,Undergraduate Certificate or Diploma,39991
3999,"Theology and Religious Vocations, Other.",2,Associate's Degree,39992
1307,International and Comparative Education.,3,Bachelors Degree,13073
4512,Urban Studies/Affairs.,8,Graduate/Professional Certificate,45128
1409,Computer Engineering.,7,First Professional Degree,14097
4201,"Psychology, General.",7,First Professional Degree,42017
111,Plant Sciences.,2,Associate's Degree,1112
1999,"Family and Consumer Sciences/Human Sciences, Other.",1,Undergraduate Certificate or Diploma,19991
2799,"Mathematics and Statistics, Other.",3,Bachelors Degree,27993
4207,Developmental and Child Psychology.,3,Bachelors Degree,42073
3800,"Philosophy and Religious Studies, General.",8,Graduate/Professional Certificate,38008
403,"City/Urban, Community and Regional Planning.",8,Graduate/Professional Certificate,4038
404,Environmental Design.,8,Graduate/Professional Certificate,4048
406,Landscape Architecture.,8,Graduate/Professional Certificate,4068
408,Architectural History and Criticism.,8,Graduate/Professional Certificate,4088
409,Architectural Sciences and Technology.,8,Graduate/Professional Certificate,4098
410,Real Estate Development.,3,Bachelors Degree,4103
410,Real Estate Development.,8,Graduate/Professional Certificate,4108
499,"Architecture and Related Services, Other.",5,Master's Degree,4995
999,"Communication, Journalism, and Related Programs, Other.",8,Graduate/Professional Certificate,9998
1404,Architectural Engineering.,6,Doctoral Degree,14046
1425,Petroleum Engineering.,6,Doctoral Degree,14256
1425,Petroleum Engineering.,8,Graduate/Professional Certificate,14258
2614,Molecular Medicine.,5,Master's Degree,26145
3011,Gerontology.,6,Doctoral Degree,30116
3032,Marine Sciences.,6,Doctoral Degree,30326
4512,Urban Studies/Affairs.,6,Doctoral Degree,45126
5199,"Health Professions and Related Clinical Sciences, Other.",6,Doctoral Degree,51996
5201,"Business/Commerce, General.",8,Graduate/Professional Certificate,52018
5299,"Business, Management, Marketing, and Related Support Services, Other.",8,Graduate/Professional Certificate,52998
6001,Dental Residency Programs.,8,Graduate/Professional Certificate,60018
3800,"Philosophy and Religious Studies, General.",6,Doctoral Degree,38006
3999,"Theology and Religious Vocations, Other.",7,First Professional Degree,39997
5199,"Health Professions and Related Clinical Sciences, Other.",2,Associate's Degree,51992
1303,Curriculum and Instruction.,3,Bachelors Degree,13033
3201,Basic Skills and Developmental/Remedial Education.,5,Master's Degree,32015
4400,"Human Services, General.",6,Doctoral Degree,44006
1499,"Engineering, Other.",2,Associate's Degree,14992
5002,"Crafts/Craft Design, Folk Art and Artisanry.",2,Associate's Degree,50022
404,Environmental Design.,6,Doctoral Degree,4046
3000,"Multi-/Interdisciplinary Studies, General.",1,Undergraduate Certificate or Diploma,30001
5105,Advanced/Graduate Dentistry and Oral Sciences.,7,First Professional Degree,51057
5108,Allied Health and Medical Assisting Services.,7,First Professional Degree,51087
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",7,First Professional Degree,51097
4501,"Social Sciences, General.",8,Graduate/Professional Certificate,45018
4599,"Social Sciences, Other.",8,Graduate/Professional Certificate,45998
999,"Communication, Journalism, and Related Programs, Other.",6,Doctoral Degree,9996
1407,Chemical Engineering.,1,Undergraduate Certificate or Diploma,14071
1409,Computer Engineering.,1,Undergraduate Certificate or Diploma,14091
1412,Engineering Physics.,1,Undergraduate Certificate or Diploma,14121
1443,Biochemical Engineering.,3,Bachelors Degree,14433
2602,"Biochemistry, Biophysics and Molecular Biology.",1,Undergraduate Certificate or Diploma,26021
2604,Cell/Cellular Biology and Anatomical Sciences.,1,Undergraduate Certificate or Diploma,26041
2615,Neurobiology and Neurosciences.,1,Undergraduate Certificate or Diploma,26151
2615,Neurobiology and Neurosciences.,8,Graduate/Professional Certificate,26158
2703,Applied Mathematics.,1,Undergraduate Certificate or Diploma,27031
3025,Cognitive Science.,8,Graduate/Professional Certificate,30258
3012,Historic Preservation and Conservation.,1,Undergraduate Certificate or Diploma,30121
3012,Historic Preservation and Conservation.,2,Associate's Degree,30122
1420,Metallurgical Engineering.,6,Doctoral Degree,14206
3017,Behavioral Sciences.,8,Graduate/Professional Certificate,30178
108,Agricultural Public Services.,5,Master's Degree,1085
306,Wildlife and Wildlands Science and Management.,8,Graduate/Professional Certificate,3068
909,"Public Relations, Advertising, and Applied Communication.",6,Doctoral Degree,9096
1414,Environmental/Environmental Health Engineering.,8,Graduate/Professional Certificate,14148
1500,"Engineering Technology, General.",5,Master's Degree,15005
1902,Family and Consumer Sciences/Human Sciences Business Services.,5,Master's Degree,19025
1905,"Foods, Nutrition, and Related Services.",6,Doctoral Degree,19056
3103,"Parks, Recreation and Leisure Facilities Management.",8,Graduate/Professional Certificate,31038
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",6,Doctoral Degree,51096
5212,Management Information Systems and Services.,6,Doctoral Degree,52126
3904,Religious Education.,4,Post-baccalaureate Certificate,39044
3904,Religious Education.,8,Graduate/Professional Certificate,39048
2200,Non-Professional General Legal Studies (Undergraduate).,8,Graduate/Professional Certificate,22008
2799,"Mathematics and Statistics, Other.",6,Doctoral Degree,27996
3020,International/Global Studies.,8,Graduate/Professional Certificate,30208
306,Wildlife and Wildlands Science and Management.,2,Associate's Degree,3062
3033,Sustainability Studies.,2,Associate's Degree,30332
104,Agricultural and Food Products Processing.,1,Undergraduate Certificate or Diploma,1041
1418,Materials Engineering,1,Undergraduate Certificate or Diploma,14181
1502,Civil Engineering Technologies/Technicians.,3,Bachelors Degree,15023
3905,Religious/Sacred Music.,2,Associate's Degree,39052
1616,American Sign Language.,5,Master's Degree,16165
3601,Leisure and Recreational Activities.,1,Undergraduate Certificate or Diploma,36011
3199,"Parks, Recreation, Leisure, and Fitness Studies, Other.",2,Associate's Degree,31992
1001,Communications Technology/Technician.,2,Associate's Degree,10012
1099,"Communications Technologies/Technicians and Support Services, Other.",3,Bachelors Degree,10993
2608,Genetics.,8,Graduate/Professional Certificate,26088
4504,Criminology.,8,Graduate/Professional Certificate,45048
5107,Health and Medical Administrative Services.,4,Post-baccalaureate Certificate,51074
5127,Medical Illustration and Informatics.,4,Post-baccalaureate Certificate,51274
5210,Human Resources Management and Services.,4,Post-baccalaureate Certificate,52104
1442,"Mechatronics, Robotics, and Automation Engineering.",5,Master's Degree,14425
4228,"Clinical, Counseling and Applied Psychology.",2,Associate's Degree,42282
1411,Engineering Mechanics.,3,Bachelors Degree,14113
2904,Military Systems and Maintenance Technology.,3,Bachelors Degree,29043
1413,Engineering Science.,2,Associate's Degree,14132
2314,Literature.,2,Associate's Degree,23142
1099,"Communications Technologies/Technicians and Support Services, Other.",2,Associate's Degree,10992
1203,Funeral Service and Mortuary Science.,3,Bachelors Degree,12033
1515,Engineering-Related Fields.,6,Doctoral Degree,15156
5199,"Health Professions and Related Clinical Sciences, Other.",7,First Professional Degree,51997
1504,Electromechanical Instrumentation and Maintenance Technologies/Technicians.,3,Bachelors Degree,15043
1507,Quality Control and Safety Technologies/Technicians.,8,Graduate/Professional Certificate,15078
907,"Radio, Television, and Digital Communication.",8,Graduate/Professional Certificate,9078
2201,Law.,8,Graduate/Professional Certificate,22018
3013,Medieval and Renaissance Studies.,5,Master's Degree,30135
3026,Cultural Studies/Critical Theory and Analysis.,8,Graduate/Professional Certificate,30268
1419,Mechanical Engineering.,2,Associate's Degree,14192
1109,Computer Systems Networking and Telecommunications.,8,Graduate/Professional Certificate,11098
